horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H392,01/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H392,30/07/2024,踱步,沙田,彭福公園,沙田 彭福公園,,,,,,助手,,踱步,H,彭福公園 踱步 (助手)
H392,29/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,28/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,27/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,26/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,25/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,06/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,05/07/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,05/07/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,04/07/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,04/07/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,03/07/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,03/07/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,02/07/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,02/07/2024,快操,沙田,全天候,沙田 全天候,,55.1,55.1,29.6 25.5,,霍宏聲,,錶之將來,H,29.6 25.5 (55.1) (霍宏聲) 錶之將來
H392,02/07/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,CP,飛機場 踱步 (助手)
H392,01/07/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,01/07/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,30/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,30/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,29/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,29/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,28/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,28/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,27/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,27/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,26/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,23/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,23/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,22/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,22/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,21/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,21/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,20/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,20/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,PH,內圈 倒快一圈 (助手)
H392,19/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,19/06/2024,快操,沙田,全天候,沙田 全天候,,55.8,55.8,31.0 24.8,,助手,,錶之將來,PH,31.0 24.8 (55.8) (助手) 錶之將來
H392,19/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,18/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,18/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,17/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,17/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,16/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,16/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H392,15/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,15/06/2024,快操,沙田,全天候,沙田 全天候,,56.3,56.3,30.2 26.1,,助手,,快操,PH,30.2 26.1 (56.3) (助手)
H392,15/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,14/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,14/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,13/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,13/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,12/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,12/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,11/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,11/06/2024,快操,沙田,全天候,沙田 全天候,,54.1,54.1,28.8 25.3,,助手,,快操,PH,28.8 25.3 (54.1) (助手)
H392,11/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,10/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,10/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,09/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,08/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,08/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,07/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,07/06/2024,快操,沙田,全天候,沙田 全天候,,58.2,58.2,29.7 28.5,,助手,,快操,PH,29.7 28.5 (58.2) (助手)
H392,07/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,06/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,06/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,PH,內圈 倒快兩圈 (助手)
H392,05/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,05/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,04/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,04/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,03/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,03/06/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,PH,內圈 倒快一圈 (助手)
H392,02/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,02/06/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,01/06/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,29/05/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,29/05/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,28/05/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,28/05/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,27/05/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,27/05/2024,快操,沙田,全天候,沙田 全天候,,30.9,30.9,30.9,,助手,,快操,PH,30.9 (30.9) (助手)
H392,27/05/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
