horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,18/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,18/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,17/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,17/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,16/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,16/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,12/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,11/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,10/04/2023,快操,沙田,全天候,沙田 全天候,,55.3,55.3,29.5 25.8,,助手,,快操,H,29.5 25.8 (55.3) (助手)
E471,10/04/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,09/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,08/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,08/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,07/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,06/04/2023,快操,從化,草地,從化 草地,,55.0,55.0,28.7 26.3,,助手,,快操,H,28.7 26.3 (55.0) (助手)
E471,06/04/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,05/04/2023,游水,從化,,從化,,,,,,,,游水,,
E471,05/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,04/04/2023,游水,從化,,從化,,,,,,,,游水,,
E471,04/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,03/04/2023,游水,從化,,從化,,,,,,,,游水,,
E471,03/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,02/04/2023,快操,從化,全天候,從化 全天候,,56.9,56.9,31.1 25.8,,助手,,快操,H,31.1 25.8 (56.9) (助手)
E471,02/04/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,01/04/2023,游水,從化,,從化,,,,,,,,游水,,
E471,01/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,31/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,31/03/2023,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
E471,30/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,30/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,29/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,29/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,27/03/2023,試閘,從化,草地,從化 草地,1000M,0.59.90,59.9,14.2 21.7 24.0,新力寶,徐君禮,,第1組,B,第1組 (徐君禮) 1000M 新力寶 14.2 21.7 24.0 (0.59.90)
E471,27/03/2023,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,B,飛機場 踱步 (副練馬師)
E471,26/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,25/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,24/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,24/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,23/03/2023,快操,從化,全天候,從化 全天候,,55.5,55.5,29.9 25.6,,副練馬師,,快操,B,29.9 25.6 (55.5) (副練馬師)
E471,23/03/2023,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,B,飛機場 踱步 (副練馬師)
E471,22/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,22/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,21/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,21/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,20/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,20/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,18/03/2023,快操,從化,全天候,從化 全天候,,56.4,56.4,29.7 26.7,,副練馬師,,快操,H,29.7 26.7 (56.4) (副練馬師)
E471,18/03/2023,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
E471,17/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,17/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,16/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,16/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,15/03/2023,快操,從化,全天候,從化 全天候,,55.7,55.7,29.6 26.1,,助手,,快操,,29.6 26.1 (55.7) (助手)
E471,15/03/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
E471,14/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,14/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,13/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,13/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,12/03/2023,游水,從化,,從化,,,,,,,,游水,,
