horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L387,02/05/2026,快操,從化,全天候,從化 全天候,,56.1,56.1,29.6 26.5,,助手,,快操,,29.6 26.5 (56.1) (助手)
L387,02/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,01/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,01/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,01/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,30/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,30/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,29/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,29/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,29/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,28/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,28/04/2026,快操,從化,全天候,從化 全天候,,53.7,53.7,28.6 25.1,,助手,,快操,,28.6 25.1 (53.7) (助手)
L387,28/04/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,27/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,27/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,27/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,26/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,26/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,26/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,25/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,25/04/2026,快操,從化,全天候,從化 全天候,,50.6,50.6,26.7 23.9,,助手,,杭至尊,,26.7 23.9 (50.6) (助手) 杭至尊
L387,25/04/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,24/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,24/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,23/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,23/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,23/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,22/04/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,22/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,22/04/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,21/04/2026,游水,從化,,從化,,,,,,,,游水,,
L387,21/04/2026,快操,從化,全天候,從化 全天候,,57.1,57.1,30.5 26.6,,助手,,快操,,30.5 26.6 (57.1) (助手)
