trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
22/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
22/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
22/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
22/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
20/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
20/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
20/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
20/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
16/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
16/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
16/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
16/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
15/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
15/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
15/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
15/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
13/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
13/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
13/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
13/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
12/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
12/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
12/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
12/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
