venue,station_time,temperature,temperature_max,temperature_min,humidity,pressure,wind_direction,wind_speed,gust_speed,rain_10min,rain_today,soil_water,soil_loss_today,sunshine_hour,captured_at,sectional
ST,17:22,30.3,31.5,25.8,67.6,1007.6,N24E,3,6,0,0,10.2,4.8,10.03,2026-09-09T09:25:07.254317+00:00,"[{""gust"":3,""speed"":2,""location"":""A"",""direction"":""N31W""},{""gust"":15,""speed"":11,""location"":""B"",""direction"":""N51E""},{""gust"":4,""speed"":4,""location"":""C"",""direction"":""E""},{""gust"":4,""speed"":3,""location"":""D"",""direction"":""S39E""}]"
HV,17:22,29.8,32.2,26.4,70.1,1007.3,N6E,1,6,0,0,20.2,4.8,9.82,2026-09-09T09:25:07.254317+00:00,"[{""gust"":12,""speed"":8,""location"":""A"",""direction"":""S1E""},{""gust"":7,""speed"":5,""location"":""B"",""direction"":""S""},{""gust"":3,""speed"":1,""location"":""C"",""direction"":""S48W""},{""gust"":5,""speed"":4,""location"":""D"",""direction"":""S34W""}]"
ST,17:27,29.8,31.5,25.8,67.8,1007.6,N85E,7,12,0,0,10.2,4.8,10.11,2026-09-09T09:30:06.452215+00:00,"[{""gust"":9,""speed"":7,""location"":""A"",""direction"":""S59E""},{""gust"":15,""speed"":12,""location"":""B"",""direction"":""N66E""},{""gust"":14,""speed"":10,""location"":""C"",""direction"":""S53E""},{""gust"":2,""speed"":1,""location"":""D"",""direction"":""S9E""}]"
HV,17:27,29.5,32.2,26.4,71.3,1007.2,S87W,7,10,0,0,20.2,4.8,9.88,2026-09-09T09:30:06.452215+00:00,"[{""gust"":18,""speed"":13,""location"":""A"",""direction"":""S6E""},{""gust"":8,""speed"":7,""location"":""B"",""direction"":""S15W""},{""gust"":10,""speed"":8,""location"":""C"",""direction"":""S35W""},{""gust"":9,""speed"":7,""location"":""D"",""direction"":""S30W""}]"
HV,17:32,29.1,32.2,26.4,72.9,1007.2,S21W,7,14,0,0,20.2,4.8,9.88,2026-09-09T09:35:08.739574+00:00,"[{""gust"":16,""speed"":13,""location"":""A"",""direction"":""S6W""},{""gust"":7,""speed"":5,""location"":""B"",""direction"":""S19W""},{""gust"":6,""speed"":4,""location"":""C"",""direction"":""S32W""},{""gust"":7,""speed"":5,""location"":""D"",""direction"":""S21W""}]"
ST,17:32,29.6,31.5,25.8,68.7,1007.7,S76E,8,13,0,0,10.2,4.8,10.2,2026-09-09T09:35:08.739574+00:00,"[{""gust"":2,""speed"":2,""location"":""A"",""direction"":""S66E""},{""gust"":8,""speed"":7,""location"":""B"",""direction"":""N61E""},{""gust"":12,""speed"":11,""location"":""C"",""direction"":""S77E""},{""gust"":4,""speed"":3,""location"":""D"",""direction"":""N42E""}]"
HV,17:37,29,32.2,26.4,73,1007.2,S30W,11,17,0,0,20.2,5.1,9.88,2026-09-09T09:40:06.161962+00:00,"[{""gust"":13,""speed"":9,""location"":""A"",""direction"":""S11E""},{""gust"":6,""speed"":5,""location"":""B"",""direction"":""S29W""},{""gust"":10,""speed"":8,""location"":""C"",""direction"":""S29W""},{""gust"":5,""speed"":3,""location"":""D"",""direction"":""S19E""}]"
ST,17:37,29.6,31.5,25.8,71.1,1007.6,N20E,5,8,0,0,10.2,4.8,10.28,2026-09-09T09:40:06.161962+00:00,"[{""gust"":3,""speed"":2,""location"":""A"",""direction"":""N64E""},{""gust"":8,""speed"":5,""location"":""B"",""direction"":""N19E""},{""gust"":16,""speed"":13,""location"":""C"",""direction"":""S63E""},{""gust"":7,""speed"":6,""location"":""D"",""direction"":""N59E""}]"
ST,17:42,29.2,31.5,25.8,72.9,1007.7,S74E,7,11,0,0,10.2,5.1,10.36,2026-09-09T09:45:04.218108+00:00,"[{""gust"":8,""speed"":6,""location"":""A"",""direction"":""N87E""},{""gust"":16,""speed"":13,""location"":""B"",""direction"":""N64E""},{""gust"":7,""speed"":5,""location"":""C"",""direction"":""S66E""},{""gust"":8,""speed"":6,""location"":""D"",""direction"":""N84E""}]"
HV,17:42,28.9,32.2,26.4,73.5,1007.3,S40W,11,18,0,0,20.2,5.1,9.88,2026-09-09T09:45:04.218108+00:00,"[{""gust"":5,""speed"":2,""location"":""A"",""direction"":""S22E""},{""gust"":7,""speed"":6,""location"":""B"",""direction"":""S40W""},{""gust"":8,""speed"":5,""location"":""C"",""direction"":""S48W""},{""gust"":9,""speed"":6,""location"":""D"",""direction"":""S22E""}]"
